,Rank,Artist,Song,Year
324,1,Gordon Jenkins and The Weavers,Goodnight Irene,1950
325,2,Nat King Cole,Mona Lisa,1950
326,3,Anton Karas,Third Man Theme,1950
327,4,Gary and Bing Crosby,Sam’s Song,1950
328,5,Gary and Bing Crosby,Simple Melody,1950
329,6,Teresa Brewer,"Music, Music, Music",1950
330,7,Guy Lombardo,Third Man Theme,1950
331,8,Red Foley,Chattanoogie Shoe Shine Boy,1950
332,9,Sammy Kaye,Harbor Lights,1950
333,10,Sammy Kaye and Don Cornell,It Isn’t Fair,1950
334,11,Eileen Barton,If I Knew You Were Coming I’d’ve Baked A Cake,1950
335,12,Kay Starr,Bonaparte’s Retreat,1950
336,13,Gordon Jenkins and The Weavers,"Tzena, Tzena, Tzena",1950
337,14,Tony Martin,There’s No Tomorrow,1950
338,15,Phil Harris,The Thing,1950
339,16,Ames Brothers,Sentimental Me,1950
340,17,Andrews Sisters and Gordon Jenkins,I Wanna Be Loved,1950
341,18,Patti Page,Tennessee Waltz,1950
342,19,Andrews Sisters and Gordon Jenkins,"I Can Dream, Can’t I",1950
343,20,Tennessee Ernie Ford and Kay Starr,I’ll Never Be Free,1950
344,21,Patti Page,All My Love,1950
345,22,Gordon Jenkins,My Foolish Heart,1950
346,23,Ames Brothers,Rag Mop,1950
347,24,Bill Snyder,Bewitched,1950
348,25,Perry Como,Hoop-Dee-Doo,1950
349,26,Gordon Jenkins,Bewitched,1950
350,27,Ames Brothers,Can Anyone Explain?,1950
351,28,Billy Eckstine,My Foolish Heart,1950
352,29,Bing Crosby,Dear Hearts And Gentle People,1950
353,30,Frankie Laine,Cry Of The Wild Goose,1950
354,1,Nat King Cole,Too Young,1951
355,2,Tony Bennett,Because Of You,1951
356,3,Les Paul and Mary Ford,How High The Moon,1951
357,4,Rosemary Clooney,Come On-a My House,1951
358,5,Mario Lanza,Be My Love,1951
359,6,Weavers,On Top Of Old Smoky,1951
360,7,Tony Bennett,"Cold, Cold Heart",1951
361,8,Perry Como,If,1951
362,9,Mario Lanza,Loveliest Night Of The Year,1951
363,10,Patti Page,Tennessee Waltz,1951
364,11,Frankie Laine,Jezebel,1951
365,12,Tony Martin,I Get Ideas,1951
366,13,Les Paul and Mary Ford,Mockin’ Bird Hill,1951
367,14,Patti Page,Mockin’ Bird Hill,1951
368,15,Guy Mitchell and Mitch Miller,My Heart Cries For You,1951
369,16,Eddy Howard,(It’s No) Sin,1951
370,17,Vaughn Monroe,Sound Off,1951
371,18,Dinah Shore,Sweet Violets,1951
372,19,Les Paul and Mary Ford,The World Is Waiting For The Sunrise,1951
373,20,Guy Mitchell and Mitch Miller,"My Truly, Truly Fair",1951
374,21,Four Aces and Al Alberta,(It’s No) Sin,1951
375,22,Debbie Reynolds and Carlton Carpenter,Aba Daba Honeymoon,1951
376,23,Frankie Laine,"Rose, Rose I Love You",1951
377,24,Del Wood,Down Yonder,1951
378,25,Billy Eckstine,I Apologize,1951
379,26,Patti Page,Would I Love You,1951
380,27,Perry Como,You’re Just In Love,1951
381,28,Ames Brothers and Les Brown,Undecided,1951
382,29,Phil Harris,The Thing,1951
383,30,Les Baxter,Because Of You,1951
384,1,Leroy Anderson,Blue Tango,1952
385,2,Kay Starr,Wheel Of Fortune,1952
386,3,Johnnie Ray,Cry,1952
387,4,Jo Stafford,You Belong To Me,1952
388,5,Vera Lynn,"Auf Wiederseh’n, Sweetheart",1952
389,6,Rosemary Clooney,Half As Much,1952
390,7,Eddie Fisher and Hugo Winterhalter,Wish You Were Here,1952
391,8,Patti Page,I Went To Your Wedding,1952
392,9,Al Martino,Here In My Heart,1952
393,10,Percy Faith,Delicado,1952
394,11,Georgia Gibbs,Kiss Of Fire,1952
395,12,Eddie Fisher and Hugo Winterhalter,Any Time,1952
396,13,Four Aces,Tell Me Why,1952
397,14,Ella Mae Morse,Blacksmith Blues,1952
398,15,Jo Stafford,Jambalaya,1952
399,16,Rosemary Clooney,Botch-a-me,1952
400,17,Doris Day,A Guy Is A Guy,1952
401,18,Johnnie Ray,The Little White Cloud That Cried,1952
402,19,Frankie Laine,High Noon,1952
403,20,Eddie Fisher and Hugo Winterhalter,I’m Yours,1952
404,21,Mills Brothers,Glow Worm,1952
405,22,Johnny Standley,It’s In The Book,1952
406,23,Pee Wee King,Slow Poke,1952
407,24,Johnnie Ray,Walkin’ My Baby Back Home,1952
408,25,Les Paul,Meet Mr. Callaghan,1952
409,26,Don Cornell,I’m Yours,1952
410,27,Don Cornell,I’ll Walk Alone,1952
411,28,Eddie Fisher and Hugo Winterhalter,Tell Me Why,1952
412,29,Hilltoppers,Trying,1952
413,30,Johnnie Ray,"Please, Mr. Sun",1952
414,1,Percy Faith,Song From Moulin Rouge,1953
415,2,Les Paul and Mary Ford,Vaya Con Dios,1953
416,3,Patti Page,Doggie In The Window,1953
417,4,Eddie Fisher,I’m Walking Behind You,1953
418,5,Ames Brothers,"You, You, You",1953
419,6,Teresa Brewer,Till I Waltz Again With You,1953
420,7,Les Baxter,April In Portugal,1953
421,8,Perry Como,No Other Love,1953
422,9,Perry Como,Don’t Let The Stars Get In Your Eyes,1953
423,10,Frankie Laine,I Believe,1953
424,11,Pee Wee Hunt,Oh,1953
425,12,Frank Chacksfield,Ebb Tide,1953
426,13,Nat King Cole,Pretend,1953
427,14,Richard Hayman,Ruby,1953
428,15,Stan Freberg,St. George And The Dragonet,1953
429,16,Hilltoppers,P.S.: I Love You,1953
430,17,Gaylords,Tell Me You’re Mine,1953
431,18,Julius La Rosa,Eh Cumpari,1953
432,19,Tony Bennett,Rags To Riches,1953
433,20,Silvana Mangano,Anna,1953
434,21,Perry Como,Say You’re Mine Again,1953
435,22,Ray Anthony,Dragnet,1953
436,23,Frankie Laine and Jimmy Boyd,Tell Me A Story,1953
437,24,June Valli,Crying In The Chapel,1953
438,25,Joni James,Why Don’t You Believe Me,1953
439,26,Joni James,Your Cheating Heart,1953
440,27,Frank Chacksfield,Limelight (Terry’s Theme),1953
441,28,Eddie Fisher,With These Hands,1953
442,29,Eartha Kitt,C’est Si Bon,1953
443,30,Joni James,Have You Heard?,1953
444,1,Kitty Kallen,Little Things Mean A Lot,1954
445,2,Perry Como,Wanted,1954
446,3,Rosemary Clooney,Hey There,1954
447,4,Crew Cuts,Sh-Boom,1954
448,5,Jo Stafford,Make Love To Me,1954
449,6,Eddie Fisher,Oh! My Pa-pa,1954
450,7,Four Knights,I Get So Lonely,1954
451,8,Four Aces,Three Coins In The Fountain,1954
452,9,Doris Day,Secret Love,1954
453,10,Archie Bleyer,Hernando’s Hideaway,1954
454,11,Frank Sinatra,Young At Heart,1954
455,12,Rosemary Clooney,This Ole House,1954
456,13,Eddie Fisher,I Need You Now,1954
457,14,Patti Page,Cross Over The Bridge,1954
458,15,Gaylords,The Little Shoemaker,1954
459,16,Dean Martin,That’s Amore,1954
460,17,Frank Weir,The Happy Wanderer,1954
461,18,Nat King Cole,Answer Me My Love,1954
462,19,Tony Bennett,Stranger In Paradise,1954
463,20,Doris Day,If I Give My Heart To You,1954
464,21,Kay Starr,If You Love Me (Really Love Me),1954
465,22,Ralph Marterie,Skokiaan,1954
466,23,Don Cornell,Hold My Hand,1954
467,24,Patti Page,Changing Partners,1954
468,25,Perry Como,Papa Loves Mambo,1954
469,26,Bill Haley and His Comets,"Shake, Rattle And Roll",1954
470,27,Tony Bennett,Rags To Riches,1954
471,28,Kitty Kallen,In The Chapel In The Moonlight,1954
472,29,Four Aces,Stranger In Paradise,1954
473,30,Tony Martin,Here,1954
474,1,Perez Prado,Cherry Pink And Apple Blossom White,1955
475,2,Bill Haley and His Comets,Rock Around The Clock,1955
476,3,Mitch Miller,The Yellow Rose Of Texas,1955
477,4,Roger Williams,Autumn Leaves,1955
478,5,Les Baxter,Unchained Melody,1955
479,6,Bill Hayes,The Ballad Of Davy Crockett,1955
480,7,Four Aces,Love Is A Many Splendored Thing,1955
481,8,McGuire Sisters,Sincerely,1955
482,9,Pat Boone,Ain’t That A Shame,1955
483,10,Georgia Gibbs,Dance With Me Henry,1955
484,11,Crazy Otto,Crazy Otto Medley I & 11,1955
485,12,Billy Vaughn,Melody Of Love,1955
486,13,Tennessee Ernie Ford,Sixteen Tons,1955
487,14,Frank Sinatra,Learnin’ The Blues,1955
488,15,Fontaine Sisters,Hearts Of Stone,1955
489,16,Georgia Gibbs,Tweedle Dee,1955
490,17,Four Lads,Moments To Remember,1955
491,18,Chordettes,Mr. Sandman,1955
492,19,Joan Weber,Let Me Go Lover,1955
493,20,Nat King Cole,A Blossom Fell,1955
494,21,Al Hibbler,Unchained Melody,1955
495,22,Fess Parker,The Ballad Of Davy Crockett,1955
496,23,Art Mooney,Honey Babe,1955
497,24,Tennessee Ernie Ford,The Ballad Of Davy Crockett,1955
498,25,Perry Como,Ko Ko Mo,1955
499,26,Gisele Mackenzie,Hard To Get,1955
500,27,Ames Brothers,The Naughty Lady Of Shady Lane,1955
501,28,Jaye P. Morgan,That’s All I Want From You,1955
502,29,Platters,Only You,1955
503,30,Somethin’ Smith and The Redheads,It’s A Sin To Tell A Lie,1955
504,1,Elvis Presley,Heartbreak Hotel,1956
505,2,Elvis Presley,Don’t Be Cruel,1956
506,3,Nelson Riddle,Lisbon Antigua,1956
507,4,Platters,My Prayer,1956
508,5,Gogi Grant,The Wayward Wind,1956
509,6,Les Baxter,The Poor People Of Paris,1956
510,7,Doris Day,Whatever Will Be Will Be (Que Sera Sera),1956
511,8,Elvis Presley,Hound Dog,1956
512,9,Dean Martin,Memories Are Made Of This,1956
513,10,Kay Starr,Rock And Roll Waltz,1956
514,11,Morris Stoloff,Moonglow And Theme From “Picnic”,1956
515,12,Platters,The Great Pretender,1956
516,13,Pat Boone,I Almost Lost My Mind,1956
517,14,Elvis Presley,"I Want You, I Need You, I Love You",1956
518,15,Elvis Presley,Love Me Tender,1956
519,16,Perry Como,Hot Diggity,1956
520,17,Eddie Heywood and Hugo Winterhalter,Canadian Sunset,1956
521,18,Carl Perkins,Blue Suede Shoes,1956
522,19,Jim Lowe,The Green Door,1956
523,20,Four Lads,"No, Not Much",1956
